indice_tiempo,canales_on_line,ventas_totales_medio_pago,efectivo
2017-01-01,267141.956,27858872.08289,10230100.130314
2017-02-01,245020.769,25994200.16707,9719067.340596003
2017-03-01,307777.804,27780006.52225002,10244442.508284995
2017-04-01,306792.733,29134272.21961001,10312632.366428996
2017-05-01,399693.262,27969004.676939998,10147613.34208
2017-06-01,368847.326,29132712.7446,10565493.495652994
2017-07-01,366990.683,31182302.456590004,10905912.736712996
2017-08-01,391525.052,31154880.943740003,11041625.274251005
2017-09-01,385910.498,30521506.19527,10789170.332050998
2017-10-01,465759.10129,32445983.01393,11220307.426600007
2017-11-01,506594.70549,33628982.657100014,11657995.803109996
2017-12-01,446036.8247,40766322.1043,13710305.37311
2018-01-01,376100.1495799999,32479208.00556999,11705433.565544002
2018-02-01,379379.71864,31736824.55214,10720300.947148008
2018-03-01,475878.27403,36531291.32867001,12955730.464524
2018-04-01,491474.68862,34113745.66680001,11685359.587512009
2018-05-01,725754.7976899999,35133146.39128,11925300.089559997
2018-06-01,593413.63629,38338209.74565996,13517215.493030002
2018-07-01,581799.0561899999,39278449.96263997,14061294.336093998
2018-08-01,639204.78984,39491907.27419998,13783068.023829997
2018-09-01,612546.82257,39925548.99754999,14307986.236589996
2018-10-01,773767.1168,43420253.82247999,15413337.429618
2018-11-01,772485.21409,44849446.00603998,15412653.112490004
2018-12-01,751599.44123,57203955.86361999,19372979.314990014
2019-01-01,693048.47043,45433623.71206,16005633.827199996
2019-02-01,677957.8397799999,44592144.895340025,15466783.51002
2019-03-01,717911.5714899999,51065694.25465001,17737278.503999993
2019-04-01,681844.1039799999,49621409.27512004,17102015.742659997
2019-05-01,964446.87431,50778299.9144,17247751.268843994
2019-06-01,821703.3616599999,54413419.61482,17995550.11326
2019-07-01,923140.63296,55044482.25732,18548992.456090007
2019-08-01,1024177.97836,59672104.45567001,19745340.249500003
2019-09-01,997476.22679,57885306.40686999,19561438.284749985
2019-10-01,1180651.47825,66325579.59368,21884744.730451003
2019-11-01,1489506.4453500002,67943710.18743,22763201.5517
2019-12-01,1278463.61382,83524644.2915,27960470.497710004
2020-01-01,1040882.66074,70145010.27273001,25121140.424074013
2020-02-01,980258.51473,72494433.66173999,23982883.637197025
2020-03-01,1603155.57539,85778031.08881997,26532575.533931985
2020-04-01,3210641.9290200006,75009596.63855001,22263621.147818018
2020-05-01,3627916.794580001,78594521.82045001,24917663.39341
2020-06-01,3678005.64307,78232859.60185996,24031410.143659983
2020-07-01,4726974.45707,81140696.22145997,24935747.285053004
2020-08-01,4005445.0164,80411973.28758001,24868416.64602999
2020-09-01,3944359.19539,77055774.35700998,24268469.258773003
2020-10-01,4601678.305080001,89224281.05372998,27348110.49728398
2020-11-01,4838176.70645,91093507.31223996,28832513.453409992
2020-12-01,3975909.55075,115806128.11518,36284788.051380016
2021-01-01,3483037.9868500005,98007583.25283,31878415.60910801
2021-02-01,3046180.66555,92954233.68111998,30090418.939484
2021-03-01,3982669.19388,107225884.48978,33646699.760530025
2021-04-01,4128007.24374,106870185.88608997,33030717.33914999
2021-05-01,5607036.33009,110604694.56479998,33391018.41487
2021-06-01,4810298.409969999,116287892.95615998,34735136.74001
2021-07-01,4754454.214929999,125658552.53241004,37973547.560765006
2021-08-01,4658789.019680001,124840319.9624,38180625.55514
2021-09-01,4416780.258529999,123002252.42976004,38080750.85783998
2021-10-01,4486843.91995,140487487.26625,43323345.69436999
2021-11-01,5751181.80928,141701960.658653,43762928.14926002
2021-12-01,5116430.63427,183983151.87992013,56640033.14703597
2022-01-01,4819479.553599999,154517094.1819681,46962602.2164548
2022-02-01,3796044.07646,152202573.39011797,46290956.20918649
2022-03-01,4661394.998140001,168982502.27879015,51262080.993980005
2022-04-01,4144283.743260001,177148082.8202,53189998.67572
2022-05-01,4280751.112880001,179639238.64318994,52738110.61500003
